t S E I R D
0 8 0 2 0 0
0.125 7 1 2 0 0
0.25 7 1 2 0 0
0.375 7 1 2 0 0
0.5 6 2 2 0 0
0.625 6 1 3 0 0
0.75 6 1 3 0 0
0.875 6 1 3 0 0
1 5 2 2 1 0
1.125 5 2 2 1 0
1.25 5 2 2 1 0
1.375 5 2 2 1 0
1.5 5 2 2 1 0
1.625 5 2 2 1 0
1.75 5 2 2 1 0
1.875 5 2 2 1 0
2 5 2 2 1 0
2.125 5 2 2 1 0
2.25 5 2 2 1 0
2.375 5 2 2 1 0
2.5 5 2 2 1 0
2.625 5 1 3 1 0
2.75 5 1 3 1 0
2.875 5 1 3 1 0
3 4 2 3 1 0
3.125 4 2 3 1 0
3.25 4 2 3 1 0
3.375 4 2 3 1 0
3.5 3 2 4 1 0
3.625 3 2 4 1 0
3.75 3 2 4 1 0
3.875 3 2 4 1 0
4 3 2 4 1 0
4.125 3 2 4 1 0
4.25 3 2 4 1 0
4.375 2 3 4 1 0
4.5 2 3 4 1 0
4.625 2 2 5 1 0
4.75 2 2 5 1 0
4.875 1 3 5 1 0
5 1 3 5 1 0
5.125 1 3 5 1 0
5.25 1 3 4 2 0
5.375 1 3 4 2 0
5.5 1 3 4 2 0
5.625 1 2 5 2 0
5.75 1 2 5 2 0
5.875 1 2 5 2 0
6 1 2 4 2 1
6.125 1 2 4 2 1
6.25 1 2 4 2 1
6.375 0 3 4 2 1
6.5 0 3 4 2 1
6.625 0 3 4 2 1
6.75 0 2 5 2 1
6.875 0 2 4 3 1
7 0 2 4 3 1
7.125 0 2 4 3 1
7.25 0 1 5 3 1
7.375 0 1 5 3 1
7.5 0 1 5 3 1
7.625 0 1 5 3 1
7.75 0 1 5 3 1
7.875 0 1 5 3 1
8 0 1 4 4 1
8.125 0 1 4 4 1
8.25 0 1 4 4 1
8.375 0 1 4 4 1
8.5 0 1 4 4 1
8.625 0 1 3 5 1
8.75 0 1 3 5 1
8.875 0 1 3 5 1
9 0 1 3 5 1
9.125 0 1 3 5 1
9.25 0 1 3 5 1
9.375 0 1 3 5 1
9.5 0 1 3 5 1
9.625 0 1 3 5 1
9.75 0 1 3 5 1
9.875 0 1 3 5 1
10 0 1 2 6 1
10.125 0 1 2 6 1
10.25 0 1 2 6 1
10.375 0 1 2 6 1
10.5 0 1 2 6 1
10.625 0 1 2 6 1
10.75 0 1 2 6 1
10.875 0 1 2 6 1
11 0 1 2 6 1
11.125 0 1 2 6 1
11.25 0 1 2 6 1
11.375 0 1 2 6 1
11.5 0 1 2 6 1
11.625 0 1 2 6 1
11.75 0 1 2 6 1
11.875 0 1 2 6 1
12 0 1 2 6 1
12.125 0 1 2 6 1
12.25 0 1 2 6 1
12.375 0 1 2 6 1
12.5 0 1 2 6 1
12.625 0 1 2 6 1
12.75 0 0 3 6 1
12.875 0 0 3 6 1
13 0 0 3 6 1
13.125 0 0 3 6 1
13.25 0 0 3 6 1
13.375 0 0 3 6 1
13.5 0 0 3 6 1
13.625 0 0 3 6 1
13.75 0 0 3 6 1
13.875 0 0 3 6 1
14 0 0 3 6 1
14.125 0 0 3 6 1
14.25 0 0 3 6 1
14.375 0 0 3 6 1
14.5 0 0 2 7 1
14.625 0 0 2 7 1
14.75 0 0 2 7 1
14.875 0 0 2 7 1
15 0 0 2 7 1
15.125 0 0 2 7 1
15.25 0 0 2 7 1
15.375 0 0 2 7 1
15.5 0 0 2 7 1
15.625 0 0 2 7 1
15.75 0 0 2 7 1
15.875 0 0 2 7 1
16 0 0 2 7 1
16.125 0 0 2 7 1
16.25 0 0 2 7 1
16.375 0 0 2 7 1
16.5 0 0 2 7 1
16.625 0 0 1 7 2
16.75 0 0 1 7 2
16.875 0 0 1 7 2
17 0 0 1 7 2
17.125 0 0 1 7 2
17.25 0 0 1 7 2
17.375 0 0 1 7 2
17.5 0 0 1 7 2
17.625 0 0 1 7 2
17.75 0 0 1 7 2
17.875 0 0 1 7 2
18 0 0 1 7 2
18.125 0 0 1 7 2
18.25 0 0 1 7 2
18.375 0 0 1 7 2
18.5 0 0 1 7 2
18.625 0 0 1 7 2
18.75 0 0 1 7 2
18.875 0 0 1 7 2
19 0 0 1 7 2
19.125 0 0 1 7 2
19.25 0 0 1 7 2
19.375 0 0 1 7 2
19.5 0 0 1 7 2
19.625 0 0 1 7 2
19.75 0 0 1 7 2
19.875 0 0 1 7 2
20 0 0 1 7 2
20.125 0 0 1 7 2
20.25 0 0 1 7 2
20.375 0 0 1 7 2
20.5 0 0 1 7 2
20.625 0 0 1 7 2
20.75 0 0 1 7 2
20.875 0 0 1 7 2
21 0 0 1 7 2
21.125 0 0 1 7 2
21.25 0 0 1 7 2
21.375 0 0 0 8 2
