t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 1 1 0
0.5 9997 1 1 1 0
0.625 9997 1 1 1 0
0.75 9997 1 1 1 0
0.875 9997 1 1 1 0
1 9997 1 1 1 0
1.125 9997 1 1 1 0
1.25 9997 1 1 1 0
1.375 9997 1 1 1 0
1.5 9997 1 1 1 0
1.625 9996 2 1 1 0
1.75 9996 2 1 1 0
1.875 9996 0 3 1 0
2 9996 0 3 1 0
2.125 9996 0 3 1 0
2.25 9996 0 3 1 0
2.375 9996 0 3 1 0
2.5 9996 0 3 1 0
2.625 9996 0 3 1 0
2.75 9995 1 3 1 0
2.875 9995 1 3 1 0
3 9995 1 3 1 0
3.125 9995 1 3 1 0
3.25 9995 0 4 1 0
3.375 9995 0 4 1 0
3.5 9995 0 4 1 0
3.625 9995 0 4 1 0
3.75 9994 1 4 1 0
3.875 9994 1 4 1 0
4 9994 1 4 1 0
4.125 9994 1 4 1 0
4.25 9994 1 4 1 0
4.375 9993 2 4 1 0
4.5 9993 2 4 1 0
4.625 9993 2 4 1 0
4.75 9993 2 4 1 0
4.875 9993 2 4 1 0
5 9993 2 4 1 0
5.125 9992 3 4 1 0
5.25 9992 2 5 1 0
5.375 9990 4 5 1 0
5.5 9990 4 5 1 0
5.625 9988 6 5 1 0
5.75 9988 5 6 1 0
5.875 9988 5 6 1 0
6 9988 5 6 1 0
6.125 9987 6 6 1 0
6.25 9987 5 7 1 0
6.375 9987 5 7 1 0
6.5 9987 5 7 1 0
6.625 9986 6 7 1 0
6.75 9986 5 8 1 0
6.875 9983 8 8 1 0
7 9979 12 8 1 0
7.125 9975 15 8 2 0
7.25 9974 15 9 2 0
7.375 9974 14 10 2 0
7.5 9971 15 12 2 0
7.625 9971 14 13 2 0
7.75 9969 15 14 2 0
7.875 9969 13 16 2 0
8 9967 13 18 2 0
8.125 9967 11 19 3 0
8.25 9967 10 20 3 0
8.375 9963 14 19 4 0
8.5 9960 17 19 4 0
