t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 1 2 0 0
2.375 9997 1 2 0 0
2.5 9997 1 1 1 0
2.625 9997 1 1 1 0
2.75 9997 1 1 1 0
2.875 9997 1 1 1 0
3 9997 1 1 1 0
3.125 9997 1 1 1 0
3.25 9996 2 1 1 0
3.375 9996 2 1 1 0
3.5 9996 2 1 1 0
3.625 9996 2 1 1 0
3.75 9996 2 1 1 0
3.875 9996 1 2 1 0
4 9996 1 2 1 0
4.125 9996 1 2 1 0
4.25 9995 2 2 1 0
4.375 9994 3 2 1 0
4.5 9994 3 2 1 0
4.625 9992 5 2 1 0
4.75 9992 5 2 1 0
4.875 9992 5 2 1 0
5 9992 5 2 1 0
5.125 9992 5 2 1 0
5.25 9992 3 4 1 0
5.375 9991 4 4 1 0
5.5 9991 3 5 1 0
5.625 9991 3 4 2 0
5.75 9991 3 4 2 0
5.875 9990 4 3 3 0
6 9989 5 3 3 0
6.125 9989 5 3 3 0
6.25 9989 4 4 3 0
6.375 9989 3 5 3 0
6.5 9988 4 5 3 0
6.625 9986 6 5 3 0
6.75 9985 6 6 3 0
6.875 9984 6 7 3 0
7 9982 8 6 4 0
7.125 9982 8 6 4 0
7.25 9981 8 7 4 0
7.375 9980 7 9 4 0
7.5 9979 7 9 5 0
7.625 9978 6 11 5 0
7.75 9978 6 11 5 0
7.875 9978 6 11 5 0
8 9978 6 11 5 0
8.125 9978 5 12 5 0
8.25 9976 6 13 5 0
8.375 9976 5 14 5 0
8.5 9976 5 13 6 0
