t S E I R D
0 8 0 2 0 0
0.125 7 1 2 0 0
0.25 7 1 2 0 0
0.375 7 1 2 0 0
0.5 7 1 2 0 0
0.625 7 1 2 0 0
0.75 7 1 2 0 0
0.875 7 1 2 0 0
1 7 1 2 0 0
1.125 6 2 2 0 0
1.25 6 2 2 0 0
1.375 6 2 2 0 0
1.5 6 2 2 0 0
1.625 5 3 2 0 0
1.75 5 3 2 0 0
1.875 5 3 2 0 0
2 5 3 2 0 0
2.125 5 3 2 0 0
2.25 5 3 2 0 0
2.375 5 3 2 0 0
2.5 5 3 2 0 0
2.625 5 3 2 0 0
2.75 5 3 2 0 0
2.875 5 3 2 0 0
3 5 3 2 0 0
3.125 5 3 2 0 0
3.25 5 3 2 0 0
3.375 5 2 3 0 0
3.5 4 3 3 0 0
3.625 4 3 3 0 0
3.75 4 3 3 0 0
3.875 4 3 3 0 0
4 4 2 4 0 0
4.125 4 2 4 0 0
4.25 2 4 4 0 0
4.375 2 4 4 0 0
4.5 2 3 5 0 0
4.625 2 3 5 0 0
4.75 2 2 6 0 0
4.875 2 2 6 0 0
5 1 3 6 0 0
5.125 1 3 5 1 0
5.25 1 2 6 1 0
5.375 1 2 6 1 0
5.5 1 2 6 1 0
5.625 1 2 6 1 0
5.75 1 2 6 1 0
5.875 1 2 6 1 0
6 1 2 6 1 0
6.125 1 2 6 1 0
6.25 1 2 6 1 0
6.375 1 2 6 1 0
6.5 1 1 7 1 0
6.625 1 0 8 1 0
6.75 1 0 8 1 0
6.875 1 0 8 1 0
7 1 0 8 1 0
7.125 1 0 8 1 0
7.25 1 0 7 2 0
7.375 1 0 7 2 0
7.5 1 0 7 2 0
7.625 1 0 7 2 0
7.75 1 0 7 2 0
7.875 1 0 7 2 0
8 1 0 6 3 0
8.125 1 0 6 3 0
8.25 1 0 6 3 0
8.375 1 0 6 3 0
8.5 1 0 5 3 1
8.625 1 0 5 3 1
8.75 1 0 5 3 1
8.875 1 0 5 3 1
9 1 0 5 3 1
9.125 1 0 5 3 1
9.25 1 0 4 4 1
9.375 1 0 4 4 1
9.5 1 0 4 4 1
9.625 1 0 4 4 1
9.75 1 0 4 4 1
9.875 1 0 3 5 1
10 1 0 3 5 1
10.125 1 0 3 5 1
10.25 1 0 3 5 1
10.375 0 1 3 5 1
10.5 0 1 3 5 1
10.625 0 1 3 5 1
10.75 0 1 3 5 1
10.875 0 1 3 5 1
11 0 1 2 6 1
11.125 0 1 2 6 1
11.25 0 1 2 6 1
11.375 0 1 2 6 1
11.5 0 1 2 6 1
11.625 0 1 2 6 1
11.75 0 1 2 6 1
11.875 0 1 2 6 1
12 0 1 2 6 1
12.125 0 1 2 6 1
12.25 0 1 2 6 1
12.375 0 1 2 6 1
12.5 0 1 2 6 1
12.625 0 1 2 6 1
12.75 0 1 2 6 1
12.875 0 1 2 6 1
13 0 1 2 6 1
13.125 0 1 2 6 1
13.25 0 1 1 7 1
13.375 0 1 1 7 1
13.5 0 1 1 7 1
13.625 0 1 1 7 1
13.75 0 1 1 7 1
13.875 0 1 1 7 1
14 0 1 1 7 1
14.125 0 1 1 7 1
14.25 0 1 1 7 1
14.375 0 1 1 7 1
14.5 0 1 1 7 1
14.625 0 1 1 7 1
14.75 0 1 1 7 1
14.875 0 1 1 7 1
15 0 1 1 7 1
15.125 0 1 1 7 1
15.25 0 0 2 7 1
15.375 0 0 2 7 1
15.5 0 0 2 7 1
15.625 0 0 2 7 1
15.75 0 0 2 7 1
15.875 0 0 2 7 1
16 0 0 2 7 1
16.125 0 0 2 7 1
16.25 0 0 2 7 1
16.375 0 0 2 7 1
16.5 0 0 2 7 1
16.625 0 0 2 7 1
16.75 0 0 2 7 1
16.875 0 0 2 7 1
17 0 0 2 7 1
17.125 0 0 2 7 1
17.25 0 0 2 7 1
17.375 0 0 2 7 1
17.5 0 0 2 7 1
17.625 0 0 2 7 1
17.75 0 0 2 7 1
17.875 0 0 2 7 1
18 0 0 2 7 1
18.125 0 0 2 7 1
18.25 0 0 2 7 1
18.375 0 0 2 7 1
18.5 0 0 2 7 1
18.625 0 0 2 7 1
18.75 0 0 2 7 1
18.875 0 0 2 7 1
19 0 0 2 7 1
19.125 0 0 2 7 1
19.25 0 0 2 7 1
19.375 0 0 2 7 1
19.5 0 0 2 7 1
19.625 0 0 2 7 1
19.75 0 0 2 7 1
19.875 0 0 2 7 1
20 0 0 2 7 1
20.125 0 0 2 7 1
20.25 0 0 2 7 1
20.375 0 0 2 7 1
20.5 0 0 2 7 1
20.625 0 0 2 7 1
20.75 0 0 2 7 1
20.875 0 0 2 7 1
21 0 0 2 7 1
21.125 0 0 2 7 1
21.25 0 0 2 7 1
21.375 0 0 2 7 1
21.5 0 0 2 7 1
21.625 0 0 2 7 1
21.75 0 0 2 7 1
21.875 0 0 2 7 1
22 0 0 2 7 1
22.125 0 0 2 7 1
22.25 0 0 2 7 1
22.375 0 0 2 7 1
22.5 0 0 2 7 1
22.625 0 0 2 7 1
22.75 0 0 2 7 1
22.875 0 0 2 7 1
23 0 0 2 7 1
23.125 0 0 2 7 1
23.25 0 0 2 7 1
23.375 0 0 1 8 1
23.5 0 0 1 8 1
23.625 0 0 1 8 1
23.75 0 0 1 8 1
23.875 0 0 1 8 1
24 0 0 1 8 1
24.125 0 0 1 8 1
24.25 0 0 1 8 1
24.375 0 0 1 8 1
24.5 0 0 1 8 1
24.625 0 0 1 8 1
24.75 0 0 1 8 1
24.875 0 0 1 8 1
25 0 0 1 8 1
25.125 0 0 1 8 1
25.25 0 0 1 8 1
25.375 0 0 1 8 1
25.5 0 0 1 8 1
25.625 0 0 1 8 1
25.75 0 0 1 8 1
25.875 0 0 1 8 1
26 0 0 1 8 1
26.125 0 0 1 8 1
26.25 0 0 1 8 1
26.375 0 0 1 8 1
26.5 0 0 1 8 1
26.625 0 0 1 8 1
26.75 0 0 1 8 1
26.875 0 0 1 8 1
27 0 0 1 8 1
27.125 0 0 1 8 1
27.25 0 0 1 8 1
27.375 0 0 1 8 1
27.5 0 0 1 8 1
27.625 0 0 1 8 1
27.75 0 0 1 8 1
27.875 0 0 1 8 1
28 0 0 1 8 1
28.125 0 0 1 8 1
28.25 0 0 1 8 1
28.375 0 0 1 8 1
28.5 0 0 1 8 1
28.625 0 0 1 8 1
28.75 0 0 1 8 1
28.875 0 0 1 8 1
29 0 0 1 8 1
29.125 0 0 1 8 1
29.25 0 0 1 8 1
29.375 0 0 1 8 1
